*a,Α
e)peciakxa/cw,ἐπεξιακχάξω
e)peco/dios,ἐπεξόδιος
e)pe/codos,ἐπέξοδος
e)pecoiwni/zomai,ἐπεξοιωνίζομαι
e)pecorki/zw,ἐπεξορκίζω
e)pecoru/ssw,ἐπεξορύσσω
e)pecousiasth/s,ἐπεξουσιαστής
e)pe/oika,ἐπέοικα
e)pe/piqmen,ἐπέπιθμεν
e)pe/plws,ἐπέπλως
e)pepoi/qei,ἐπεποίθει
e)pepo/nqei,ἐπεπόνθει
e)pe/ptare,ἐπέπταρε
e)pe/ptato,ἐπέπτατο
e)pe/pw,ἐπέπω
e)pe/rastos,ἐπέραστος
e)/perga,ἔπεργα
e)perga/zomai,ἐπεργάζομαι
e)pergasi/a,ἐπεργασία
e)pergastiko/s,ἐπεργαστικός
e)/pergos,ἔπεργος
e)pereqi/zw,ἐπερεθίζω
e)pereqismo/s,ἐπερεθισμός
e)perei/dw,ἐπερείδω
e)pe/reisis,ἐπέρεισις
e)pe/reisma,ἐπέρεισμα
e)pereismo/s,ἐπερεισμός
e)pereistiko/s,ἐπερειστικός
e)pere/omai,ἐπερέομαι
e)pereu/gomai,ἐπερεύγομαι
e)pere/fw,ἐπερέφω
e)pe/romai,ἐπέρομαι
e)/peros,ἔπερος
e)perrw/pths,ἐπερρώπτης
e)peru/w,ἐπερύω
e)pe/rxomai,ἐπέρχομαι
e)perwta/w,ἐπερωτάω
e)perw/thma,ἐπερώτημα
e)perw/thsis,ἐπερώτησις
e)perwthth/s,ἐπερωτητής
e)pe/s,ἐπές
e)/pesa,ἔπεσα
e)/pesan,ἔπεσαν
e)pesbole/w,ἐπεσβολέω
e)pesboli/a,ἐπεσβολία
e)pesbo/los,ἐπεσβόλος
e)pesqi/w,ἐπεσθίω
e)pe/sqw,ἐπέσθω
e)peskemme/nws,ἐπεσκεμμένως
e)peskotisme/nws,ἐπεσκοτισμένως
e)pespeusme/nws,ἐπεσπευσμένως
e)pe/sshqon,ἐπέσσηθον
e)pessume/nws,ἐπεσσυμένως
e)pestei=sai,ἐπεστεῖσαι
e)pestew/s,ἐπεστεώς
e)pestramme/nws,ἐπεστραμμένως
e)pesxa/rios,ἐπεσχάριος
e)pesxa/rwsis,ἐπεσχάρωσις
e)peteio/karpos,ἐπετειόκαρπος
e)peteio/kaulos,ἐπετειόκαυλος
e)pe/teios,ἐπέτειος
e)peteiofore/w,ἐπετειοφορέω
e)peteiofo/ros,ἐπετειοφόρος
e)peteio/fullos,ἐπετειόφυλλος
e)pe/teos,ἐπέτεος
e(pe/ths,ἑπέτης
e)peth/sios,ἐπετήσιος
e)peti/nh,ἐπετίνη
e)petino/s,ἐπετινός
e)/peton,ἔπετον
e)pe/tosse,ἐπέτοσσε
e)/petton,ἔπεττον
e)peu/ade,ἐπεύαδε
e)peua/zw,ἐπευάζω
e)peudoke/w,ἐπευδοκέω
e)peuqume/w,ἐπευθυμέω
e)peuqu/nw,ἐπευθύνω
e)peuklei/+zw,ἐπευκλεΐζω
e)peuktai=os,ἐπευκταῖος
e)peukto/s,ἐπευκτός
e)peulabe/omai,ἐπευλαβέομαι
e)peuloge/w,ἐπευλογέω
e)peuna/zw,ἐπευνάζω
e)peu/naktoi,ἐπεύνακτοι
e)peusxhmone/w,ἐπευσχημονέω
e)peufhme/w,ἐπευφημέω
e)peufhmi/zomai,ἐπευφημίζομαι
e)peufhmismo/s,ἐπευφημισμός
e)peufrai/nomai,ἐπευφραίνομαι
e)peufrati/dios,ἐπευφρατίδιος
e)peuxa/dios,ἐπευχάδιος
e)peuxh/,ἐπευχή
e)peu/xion,ἐπεύχιον
e)peu/xomai,ἐπεύχομαι
e)peuwni/zw,ἐπευωνίζω
e)peuwnismo/s,ἐπευωνισμός
e)peuwxe/omai,ἐπευωχέομαι
e)pe/fanto,ἐπέφαντο
e)pefo/rbei,ἐπεφόρβει
e)pe/fradon,ἐπέφραδον
e)pe/fukon,ἐπέφυκον
e)pe/xeron,ἐπέχερον
e)pexe/s,ἐπεχές
e)pe/xunto,ἐπέχυντο
e)pe/xw,ἐπέχω
e)phba/w,ἐπηβάω
e)phbolh/,ἐπηβολή
e)phboli/a,ἐπηβολία
e)ph/bolos,ἐπήβολος
e)phgkeni/des,ἐπηγκενίδες
e)phgoreu/w,ἐπηγορεύω
e)phgore/wn,ἐπηγορέων
e)phgori/a,ἐπηγορία
e)phe/rios,ἐπηέριος
e)phetano/s,ἐπηετανός
e)ph/koos,ἐπήκοος
e)/phlis,ἔπηλις
e)phllagme/nws,ἐπηλλαγμένως
e)phluga/zw,ἐπηλυγάζω
e)phlu/gaios,ἐπηλύγαιος
e)phlugismo/s,ἐπηλυγισμός
e)ph=luc,ἐπῆλυξ
e)/phlus,ἔπηλυς
e)phlusi/a,ἐπηλυσία
e)ph/lusis,ἐπήλυσις
e)phlu/ths,ἐπηλύτης
e)phma/tios,ἐπημάτιος
e)phmoibo/s,ἐπημοιβός
e)phmu/w,ἐπημύω
e)phne/mios,ἐπηνέμιος
e)phnu/gmata,ἐπηνύγματα
e)ph|o/nios,ἐπῃόνιος
e)ph/oros,ἐπήορος
e)phpu/w,ἐπηπύω
e)ph/ranos,ἐπήρανος
e)phrasi/a,ἐπηρασία
e)ph/rate,ἐπήρατε
e)ph/ratos,ἐπήρατος
e)phrea/zw,ἐπηρεάζω
e)phreasmo/s,ἐπηρεασμός
e)phreasth/s,ἐπηρεαστής
e)phreastiko/s,ἐπηρεαστικός
e)ph/reia,ἐπήρεια
e)phreme/w,ἐπηρεμέω
e)phre/mhsis,ἐπηρέμησις
e)phre/sion,ἐπηρέσιον
e)ph/retmos,ἐπήρετμος
e)phrefh/s,ἐπηρεφής
e)ph/rhs,ἐπήρης
e)ph/ristos,ἐπήριστος
e)ph=rse,ἐπῆρσε
e)phsqei=en,ἐπησθεῖεν
e)phsuxa/zw,ἐπησυχάζω
e)phtano/s,ἐπητανός
e)ph/teia,ἐπήτεια
e)phth/s,ἐπητής
e(phtiko/s,ἑπητικός
e)ph/trimos,ἐπήτριμος
e)ph/trios,ἐπήτριος
e)phtu/s,ἐπητύς
e)phu=ron,ἐπηῦρον
e)phxe/w,ἐπηχέω
e)ph/xhsis,ἐπήχησις
e)phw=|os,ἐπηῷος
e)ph/wra,ἐπήωρα
e)pi/2,ἐπί2
e)piale/s,ἐπιαλές
e)pia/llomai,ἐπιάλλομαι
e)pia/llw,ἐπιάλλω
e)pi/alos,ἐπίαλος
e)pia/lths,ἐπιάλτης
e)pianda/nw,ἐπιανδάνω
e)pia/omai,ἐπιάομαι
e)pi/aron,ἐπίαρον
e)piau/w,ἐπιαύω
e)pia/xw,ἐπιάχω
e)piba/dai,ἐπιβάδαι
e)piba/qra,ἐπιβάθρα
e)pi/baqron,ἐπίβαθρον
e)pibai/nw,ἐπιβαίνω
e)pibakxeu/w,ἐπιβακχεύω
e)piba/llon,ἐπιβάλλον
e)piba/llw,ἐπιβάλλω
e)pi/balma,ἐπίβαλμα
e)pibapti/zw,ἐπιβαπτίζω
e)pi/baptos,ἐπίβαπτος
e)piba/ptw,ἐπιβάπτω
e)piba/resis,ἐπιβάρεσις
e)pibare/w,ἐπιβαρέω
e)pibarh/s,ἐπιβαρής
e)piba/rhsis,ἐπιβάρησις
e)pibaru/nw,ἐπιβαρύνω
e)pi/barus,ἐπίβαρυς
e)pibasi/a,ἐπιβασία
e)pi/basis,ἐπίβασις
e)piba/skw,ἐπιβάσκω
e)pibasta/zw,ἐπιβαστάζω
e)pibate/on,ἐπιβατέον
e)pibateu/w,ἐπιβατεύω
e)pibathgo/s,ἐπιβατηγός
e)pibath/rios,ἐπιβατήριος
e)piba/ths,ἐπιβάτης
e)pibatiko/s,ἐπιβατικός
e)pibato/rios,ἐπιβατόριος
e)pibato/s,ἐπιβατός
e)piba/fia,ἐπιβάφια
e)pi/bda^,ἐπίβδα^
e)pibda/llw,ἐπιβδάλλω
e)pibebaio/w,ἐπιβεβαιόω
e)pibebai/wsis,ἐπιβεβαίωσις
e)pibelti/wsis,ἐπιβελτίωσις
e)pibh/mata,ἐπιβήματα
*)epibh/mios,Ἐπιβήμιος
e)pibh/ths,ἐπιβήτης
e)pibh/twr,ἐπιβήτωρ
e)pibia/zomai,ἐπιβιάζομαι
e)pibiastiko/s,ἐπιβιαστικός
e)pibiba/zw,ἐπιβιβάζω
e)pibiba/skw,ἐπιβιβάσκω
e)pibibrw/skw,ἐπιβιβρώσκω
e)pi/bios,ἐπίβιος
e)pibio/w,ἐπιβιόω
e)piblabh/s,ἐπιβλαβής
e)piblai/,ἐπιβλαί
e)pibla/ptw,ἐπιβλάπτω
e)pibla/s,ἐπιβλάς
e)piblasta/nw,ἐπιβλαστάνω
e)pibla/sthsis,ἐπιβλάστησις
e)piblastiko/s,ἐπιβλαστικός
e)piblasfhme/w,ἐπιβλασφημέω
e)piblepte/on,ἐπιβλεπτέον
e)pible/pw,ἐπιβλέπω
e)pi/bleyis,ἐπίβλεψις
e)piblh/dhn,ἐπιβλήδην
e)pi/blhma,ἐπίβλημα
e)piblhmatiko/s,ἐπιβληματικός
e)piblh/s,ἐπιβλής
e)piblhte/on,ἐπιβλητέον
e)piblh/tion,ἐπιβλήτιον
e)piblhtiko/s,ἐπιβλητικός
e)pi/blhtos,ἐπίβλητος
e)piblu/zw,ἐπιβλύζω
e)piblu/c,ἐπιβλύξ
e)piblusmo/s,ἐπιβλυσμός
e)piblu/w,ἐπιβλύω
e)piboa/w,ἐπιβοάω
e)piboh/,ἐπιβοή
e)piboh/qeia,ἐπιβοήθεια
e)pibohqe/w,ἐπιβοηθέω
e)pibohqhte/on,ἐπιβοηθητέον
e)pibo/hma,ἐπιβόημα
e)pibo/hsis,ἐπιβόησις
e)pibo/htos,ἐπιβόητος
e)pibo/qrios,ἐπιβόθριος
e)pi/boion,ἐπίβοιον
e)pibo/laion,ἐπιβόλαιον
e)piboleu/s,ἐπιβολεύς
e)pibolh/,ἐπιβολή
e)pi/bolos,ἐπίβολος
e)pibombe/w,ἐπιβομβέω
e)pibo/skhsis,ἐπιβόσκησις
e)piboski/s,ἐπιβοσκίς
e)pibo/skomai,ἐπιβόσκομαι
e)pibouko/los,ἐπιβουκόλος
e)pibou/leuma,ἐπιβούλευμα
e)pibou/leusis,ἐπιβούλευσις
e)pibouleuth/s,ἐπιβουλευτής
e)pibouleutiko/s,ἐπιβουλευτικός
e)pibouleu/w,ἐπιβουλεύω
e)piboulh/,ἐπιβουλή
e)pibouli/a,ἐπιβουλία
e)pi/boulos,ἐπίβουλος
e)pibradu/nw,ἐπιβραδύνω
e)pi/bradus,ἐπίβραδυς
e)pibraxei=n,ἐπιβραχεῖν
e)pi/bregma,ἐπίβρεγμα
e)pibrekte/on,ἐπιβρεκτέον
e)pibre/mw,ἐπιβρέμω
e)pibre/xw,ἐπιβρέχω
e)pibriqh/s,ἐπιβριθής
e)pibri/qw,ἐπιβρίθω
e)pibrima/omai,ἐπιβριμάομαι
e)pibrome/w,ἐπιβρομέω
e)pibronta/w,ἐπιβροντάω
e)pibro/nthtos,ἐπιβρόντητος
e)pibroxe/w,ἐπιβροχέω
e)pibroxh/,ἐπιβροχή
e)pi/broxos,ἐπίβροχος
e)pibru/kw,ἐπιβρύκω
e)pibruxa/omai,ἐπιβρυχάομαι
e)pibru/xw,ἐπιβρύχω
e)pibru/w,ἐπιβρύω
e)pibrwma/omai,ἐπιβρωμάομαι
e)pibrwte/on,ἐπιβρωτέον
e)pibu/stra,ἐπιβύστρα
e)pibu/w,ἐπιβύω
e)pibwqe/w,ἐπιβωθέω
e)pibwmi/zw,ἐπιβωμίζω
e)pibw/mios,ἐπιβώμιος
e)pibwmiostate/w,ἐπιβωμιοστατέω
e)pibwmi/s,ἐπιβωμίς
e)pibwmi/ths,ἐπιβωμίτης
e)pibw/somai,ἐπιβώσομαι
e)pibwstre/w,ἐπιβωστρέω
e)pi/bwtos,ἐπίβωτος
e)pibw/twr,ἐπιβώτωρ
e)pi/gaios,ἐπίγαιος
e)pigaio/w,ἐπιγαιόω
e)pigambrei/a,ἐπιγαμβρεία
e)piga/mbreuma,ἐπιγάμβρευμα
e)piga/mbreusis,ἐπιγάμβρευσις
e)pigambreuth/s,ἐπιγαμβρευτής
e)pigambreu/w,ἐπιγαμβρεύω
e)pigame/w,ἐπιγαμέω
e)pigami/a,ἐπιγαμία
e)piga/mios,ἐπιγάμιος
e)pi/gamos,ἐπίγαμος
e)pigano/w,ἐπιγανόω
e)piga/numai,ἐπιγάνυμαι
e)piga/strios,ἐπιγάστριος
e)pi/gauron,ἐπίγαυρον
e)pigauro/w,ἐπιγαυρόω
e)pigdoupe/w,ἐπιγδουπέω
e)pigei/+zw,ἐπιγεΐζω
e)pigei/nomai,ἐπιγείνομαι
e)pigeio/kaulos,ἐπιγειόκαυλος
e)pi/geios,ἐπίγειος
e)pigeio/fullos,ἐπιγειόφυλλος
e)pigeiso/w,ἐπιγεισόω
e)pigeitnia/w,ἐπιγειτνιάω
e)pigelasta/r,ἐπιγελαστάρ
e)pigela/w,ἐπιγελάω
e)pigemi/zw,ἐπιγεμίζω
e)pige/misis,ἐπιγέμισις
e)pige/nhma,ἐπιγένημα
e)pigenh/s,ἐπιγενής
e)pigenna/w,ἐπιγεννάω
e)pige/nnhma,ἐπιγέννημα
e)pigennhmatiko/s,ἐπιγεννηματικός
e)pige/nnhsis,ἐπιγέννησις
e)pigennhto/s,ἐπιγεννητός
e)pigeou=xos,ἐπιγεοῦχος
e)pigerai/rw,ἐπιγεραίρω
e)pigeu/omai,ἐπιγεύομαι
e)pigew/moroi,ἐπιγεώμοροι
e)pigewrge/w,ἐπιγεωργέω
e)pighqe/w,ἐπιγηθέω
e)pighra/skw,ἐπιγηράσκω
e)pigi/gnomai,ἐπιγίγνομαι
e)pigignw/skw,ἐπιγιγνώσκω
e)piglisxrai/nw,ἐπιγλισχραίνω
e)piglukai/nw,ἐπιγλυκαίνω
e)pi/glukus,ἐπίγλυκυς
e)piglufi/s,ἐπιγλυφίς
e)piglu/fw,ἐπιγλύφω
e)piglwssa/omai,ἐπιγλωσσάομαι
e)piglwssi/s,ἐπιγλωσσίς
e)pignampto/s,ἐπιγναμπτός
e)pigna/mptw,ἐπιγνάμπτω
e)pigna/ptw,ἐπιγνάπτω
e)pignafei=on,ἐπιγναφεῖον
e)pi/gnafos,ἐπίγναφος
e)pignw/mas,ἐπιγνώμας
e)pignwmoneu/w,ἐπιγνωμονεύω
e)pignw/mh,ἐπιγνώμη
e)pignwmosu/nh,ἐπιγνωμοσύνη
e)pignw/mwn,ἐπιγνώμων
e)pignwri/zw,ἐπιγνωρίζω
e)pi/gnwsis,ἐπίγνωσις
e)pignwste/on,ἐπιγνωστέον
e)pignwstiko/s,ἐπιγνωστικός
e)pi/gnwstos,ἐπίγνωστος
e)pignw/wsi,ἐπιγνώωσι
e)pigoggu/zw,ἐπιγογγύζω
e)pigomfo/w,ἐπιγομφόω
e)pigonati/s,ἐπιγονατίς
e)pigo/neion,ἐπιγόνειον
e)pigonh/,ἐπιγονή
e)pi/gonos,ἐπίγονος
e)pigounati/s,ἐπιγουνατίς
e)pigouni/dios,ἐπιγουνίδιος
e)pigouni/s,ἐπιγουνίς
e)pigra/bdhn,ἐπιγράβδην
e)pi/gramma,ἐπίγραμμα
e)pigramma/tion,ἐπιγραμμάτιον
e)pigrammatisth/s,ἐπιγραμματιστής
e)pigrammatogra/fos,ἐπιγραμματογράφος
e)pigrammatopoio/s,ἐπιγραμματοποιός
e)pigrammatofo/ros,ἐπιγραμματοφόρος
e)pigrammh/,ἐπιγραμμή
e)pi/grammos,ἐπίγραμμος
e)pigrafeu/s,ἐπιγραφεύς
e)pigrafh/,ἐπιγραφή
e)pigrafiko/s,ἐπιγραφικός
e)pigra/fw,ἐπιγράφω
e)pi/grupos,ἐπίγρυπος
e)pigu/alos,ἐπιγύαλος
e)pi/guion,ἐπίγυιον
e)pigumna/zw,ἐπιγυμνάζω
e)pigumno/w,ἐπιγυμνόω
e)pigw/nios,ἐπιγώνιος
e)pidai/omai1,ἐπιδαίομαι1
e)pidai/omai2,ἐπιδαίομαι2
e)pidai/sios,ἐπιδαίσιος
e)pi/daitron,ἐπίδαιτρον
e)pida/knw,ἐπιδάκνω
e)pidaknw/dhs,ἐπιδακνώδης
e)pi/dakrus,ἐπίδακρυς
e)pida/krusis,ἐπιδάκρυσις
e)pidakru/w,ἐπιδακρύω
e)pi/dalon,ἐπίδαλον
e)pidamiastai/,ἐπιδαμιασταί
e)pidamiorge/w,ἐπιδαμιοργέω
e)pidamiorgo/s,ἐπιδαμιοργός
e)pida/mnamai,ἐπιδάμναμαι
e)pi/damos,ἐπίδαμος
e)pidanei/zw,ἐπιδανείζω
e)pidapana/w,ἐπιδαπανάω
e)pidapanhth/s,ἐπιδαπανητής
e)pidasmo/s,ἐπιδασμός
e)pi/dasus,ἐπίδασυς
e)pidayileu/w,ἐπιδαψιλεύω
e)pide/droma,ἐπιδέδρομα
e)pideh/s,ἐπιδεής
e)pidei=,ἐπιδεῖ
e)pi/deigma,ἐπίδειγμα
e)pidei/dw,ἐπιδείδω
e)pidei/elos,ἐπιδείελος
e)pidei/knumi,ἐπιδείκνυμι
e)pidapante/on,ἐπιδαπαντέον
e)pidapantia/w,ἐπιδαπαντιάω
e)pidapantiko/s,ἐπιδαπαντικός
e)pidei=n,ἐπιδεῖν
e)pideinopaqe/w,ἐπιδεινοπαθέω
e)pi/deicis,ἐπίδειξις
e)pideipne/w,ἐπιδειπνέω
e)pidei/pnios,ἐπιδείπνιος
e)pideipni/s,ἐπιδειπνίς
e)pi/deipnon,ἐπίδειπνον
e)pidekatei/a,ἐπιδεκατεία
e)pideipneu/w,ἐπιδειπνεύω
e)pi/deipnos,ἐπίδειπνος
e)pidekte/on,ἐπιδεκτέον
e)pidektiko/s,ἐπιδεκτικός
e)pi/dektos,ἐπίδεκτος
e)pide/ktwr,ἐπιδέκτωρ
e)pidelea/zomai,ἐπιδελεάζομαι
e)pide/mnios,ἐπιδέμνιος
e)pide/momai,ἐπιδέμομαι
e)pide/ndrios,ἐπιδένδριος
e)pi/dendros,ἐπίδενδρος
e)pide/nnw,ἐπιδέννω
e)pidecieleu/qeros,ἐπιδεξιελεύθερος
e)pidecio/omai,ἐπιδεξιόομαι
e)pide/cios,ἐπιδέξιος
e)pidecio/ths,ἐπιδεξιότης
e)pidecipoli/hs,ἐπιδεξιπολίης
e)pi/decis,ἐπίδεξις
e)pi/deris,ἐπίδερις
e)pide/rkomai,ἐπιδέρκομαι
e)piderkto/s,ἐπιδερκτός
e)pi/derma,ἐπίδερμα
e)pidermati/s,ἐπιδερματίς
e)pidermi/s,ἐπιδερμίς
e)pi/desis,ἐπίδεσις
e)pi/desma,ἐπίδεσμα
e)pidesmeu/w,ἐπιδεσμεύω
e)pidesme/w,ἐπιδεσμέω
e)pide/smia,ἐπιδέσμια
e)pidesmi/s,ἐπιδεσμίς
e)pi/desmos,ἐπίδεσμος
e)pidesmoxarh/s,ἐπιδεσμοχαρής
e)pidespo/zw,ἐπιδεσπόζω
e)pidete/on,ἐπιδετέον
e)pideto/n,ἐπιδετόν
e)pideuh/s,ἐπιδευής
e)pideu/omai,ἐπιδεύομαι
e)pideu/teros,ἐπιδεύτερος
e)pideutero/w,ἐπιδευτερόω
e)pideute/rwsis,ἐπιδευτέρωσις
e)pideu/w,ἐπιδεύω
e)pide/xomai,ἐπιδέχομαι
e)pideuterde/komai,ἐπιδευτερδέκομαι
e)pide/w1,ἐπιδέω1
e)pide/w2,ἐπιδέω2
e)pi/dhlos,ἐπίδηλος
e)pidhlo/w,ἐπιδηλόω
e)pi/dhma,ἐπίδημα
e)pidhmeu/w,ἐπιδημεύω
e)pidhme/w,ἐπιδημέω
e)pidhmhgore/w,ἐπιδημηγορέω
e)pidh/mhsis,ἐπιδήμησις
e)pidhmhtiko/s,ἐπιδημητικός
e)pidhmi/a,ἐπιδημία
e)pidhmiako/s,ἐπιδημιακός
e)pidh/mios,ἐπιδήμιος
e)pidhmiourge/w,ἐπιδημιουργέω
e)pidhmiourgoi/,ἐπιδημιουργοί
e)pi/dhmos,ἐπίδημος
e)pidiabai/nw,ἐπιδιαβαίνω
e)pidiaba/llw,ἐπιδιαβάλλω
e)pidiagignw/skw,ἐπιδιαγιγνώσκω
e)pidiagra/fw,ἐπιδιαγράφω
e)pidiaqh/kh,ἐπιδιαθήκη
e)pidiai/resis,ἐπιδιαίρεσις
e)pidiairete/on,ἐπιδιαιρετέον
e)pidiaire/w,ἐπιδιαιρέω
e)pidiai/thsis,ἐπιδιαίτησις
e)pidiakate/xw,ἐπιδιακατέχω
e)pidia/keimai,ἐπιδιάκειμαι
e)pidiakinduneu/w,ἐπιδιακινδυνεύω
e)pidiaklu/zw,ἐπιδιακλύζω
e)pidiakone/w,ἐπιδιακονέω
e)pidiakri/nw,ἐπιδιακρίνω
e)pidia/krisis,ἐπιδιάκρισις
e)pidialei/pw,ἐπιδιαλείπω
e)pidiallagh/,ἐπιδιαλλαγή
e)pidialla/ssw,ἐπιδιαλλάσσω
e)pidialu/w,ἐπιδιαλύω
e)pidiame/nw,ἐπιδιαμένω
e)pidiamonh/,ἐπιδιαμονή
e)pidiane/mw,ἐπιδιανέμω
e)pidianoe/omai,ἐπιδιανοέομαι
e)pidiape/mpw,ἐπιδιαπέμπω
e)pidiaple/w,ἐπιδιαπλέω
e)pidiarqro/w,ἐπιδιαρθρόω
e)pidiarre/w,ἐπιδιαρρέω
e)pidiarrh/gnumai,ἐπιδιαρρήγνυμαι
e)pidiasafe/w,ἐπιδιασαφέω
e)pidiaskeua/zw,ἐπιδιασκευάζω
e)pidiaskope/w,ἐπιδιασκοπέω
e)pidiasu/rw,ἐπιδιασύρω
e)pidiasxi/zw,ἐπιδιασχίζω
e)pidiata/ssomai,ἐπιδιατάσσομαι
e)pidiatei/nw,ἐπιδιατείνω
e)pidiati/qhmi,ἐπιδιατίθημι
e)pidiatri/bw,ἐπιδιατρίβω
e)pidiafe/romai,ἐπιδιαφέρομαι
e)pidiafqei/rw,ἐπιδιαφθείρω
e)pidida/skw,ἐπιδιδάσκω
e)pididumi/s,ἐπιδιδυμίς
e)pidi/dwmi,ἐπιδίδωμι
e)pidiece/rxomai,ἐπιδιεξέρχομαι
e)pidie/rxomai,ἐπιδιέρχομαι
e)pidieuga/zw,ἐπιδιευγάζω
e)pidi/zhmai,ἐπιδίζημαι
e)pidihge/omai,ἐπιδιηγέομαι
e)pidih/ghsis,ἐπιδιήγησις
e)pidih/kw,ἐπιδιήκω
e)pidiista/w,ἐπιδιιστάω
e)pidii/sthmi,ἐπιδιίστημι
e)pidika/zw,ἐπιδικάζω
e)pidikasi/a,ἐπιδικασία
e)pidika/simos,ἐπιδικάσιμος
e)pidikatoi/,ἐπιδικατοί
e)pidikei=n,ἐπιδικεῖν
e)pidike/w,ἐπιδικέω
e)pi/dikos,ἐπίδικος
e)pidimerh/s,ἐπιδιμερής
e)pidineu/w,ἐπιδινεύω
e)pidine/w,ἐπιδινέω
e)pidio/gkwsis,ἐπιδιόγκωσις
e)pidi/omai,ἐπιδίομαι
e)pidiorqo/w,ἐπιδιορθόω
e)pidio/rqwsis,ἐπιδιόρθωσις
e)pidiorqwtiko/s,ἐπιδιορθωτικός
e)pidiori/zw,ἐπιδιορίζω
e)pidioriste/on,ἐπιδιοριστέον
e)pidioure/w,ἐπιδιουρέω
e)pidiplasia/zw,ἐπιδιπλασιάζω
e)pidiploi/+zw,ἐπιδιπλοΐζω
e)pidiplo/w,ἐπιδιπλόω
e)pidi/plwsis,ἐπιδίπλωσις
e)pidiskeu/w,ἐπιδισκεύω
e)pidista/zw,ἐπιδιστάζω
e)pidi/stasis,ἐπιδίστασις
e)pidi/tritos,ἐπιδίτριτος
e)pidifria/s,ἐπιδιφριάς
e)pidi/frios,ἐπιδίφριος
e)pi/dixa,ἐπίδιχα
e)pidi/yios,ἐπιδίψιος
e)pidiwgmo/s,ἐπιδιωγμός
e)pidiw/kths,ἐπιδιώκτης
e)pidiw/kw,ἐπιδιώκω
e)pidi/wcis,ἐπιδίωξις
e)pidoia/zw,ἐπιδοιάζω
e)pi/doka,ἐπίδοκα
e)pi/doma,ἐπίδομα
e)pidome/w,ἐπιδομέω
e)pidone/w,ἐπιδονέω
e)pidoca/zw,ἐπιδοξάζω
e)pi/docos,ἐπίδοξος
e)pidoco/ths,ἐπιδοξότης
e)pidorati/s,ἐπιδορατίς
e)pi/dorpa,ἐπίδορπα
e)pidorpi/dios,ἐπιδορπίδιος
e)pidorpi/zomai,ἐπιδορπίζομαι
e)pido/rpios,ἐπιδόρπιος
e)pidorpi/s,ἐπιδορπίς
e)pido/rpisma,ἐπιδόρπισμα
e)pidorpismo/s,ἐπιδορπισμός
e)pido/simos,ἐπιδόσιμος
e)pi/dosis,ἐπίδοσις
e)pidoth/r,ἐπιδοτήρ
e)pidotiko/s,ἐπιδοτικός
e)pidouleu/w,ἐπιδουλεύω
e)pidoupe/w,ἐπιδουπέω
e)pidou/riton,ἐπιδούριτον
e)pidoxh/,ἐπιδοχή
e)pidra/gmata,ἐπιδράγματα
e)pidramei=n,ἐπιδραμεῖν
e)pidra/ssomai,ἐπιδράσσομαι
e)pidra/w,ἐπιδράω
e)pidre/pw,ἐπιδρέπω
e)pidroma/dhn,ἐπιδρομάδην
e)pidrome/w,ἐπιδρομέω
e)pidromh/,ἐπιδρομή
e)pidromi/a,ἐπιδρομία
e)pidromiko/s,ἐπιδρομικός
e)pidromi/s,ἐπιδρομίς
e)pi/dromos,ἐπίδρομος
e)pi/drosos,ἐπίδροσος
e)pidusfhme/w,ἐπιδυσφημέω
e)pidus&lt;w&gt;xei=n,ἐπιδυσ&λτ;ω&γτ;χεῖν
e)pidu/ths,ἐπιδύτης
e)pidu/w,ἐπιδύω
e)pidwma/w,ἐπιδωμάω
e)pidwre/omai,ἐπιδωρέομαι
e)pidw/ths,ἐπιδώτης
e)pie/bdomos,ἐπιέβδομος
e)pieqani/s,ἐπιεθανίς
e)piei/keia,ἐπιείκεια
e)piei/kelos,ἐπιείκελος
e)pieikeu/omai,ἐπιεικεύομαι
e)pieikh/s,ἐπιεικής
e)pieikosqe/bdomos,ἐπιεικοσθέβδομος
e)pieikosto/monos,ἐπιεικοστόμονος
e)piei/kostos,ἐπιείκοστος
e)pieikostote/tartos,ἐπιεικοστοτέταρτος
e)pieikosto/tritos,ἐπιεικοστότριτος
e)pieikto/s,ἐπιεικτός
e)pieime/nos,ἐπιειμένος
e)piei/somai,ἐπιείσομαι
e)piekatostoeikosto/gdoos,ἐπιεκατοστοεικοστόγδοος
e)pi/ektos,ἐπίεκτος
e)pie/ldomai,ἐπιέλδομαι
e)pieli/ktwr,ἐπιελίκτωρ
e)pie/lpomai,ἐπιέλπομαι
e)pi/elptos,ἐπίελπτος
e)pie/natos,ἐπιένατος
e)piende/katos,ἐπιενδέκατος
e)pienneakaide/katos,ἐπιεννεακαιδέκατος
e)pie/nnumi,ἐπιέννυμι
e)piechkostote/tartos,ἐπιεξηκοστοτέταρτος
e)pieptakaide/katos,ἐπιεπτακαιδέκατος
e)pierga/zomai,ἐπιεργάζομαι
e)pi/ergos,ἐπίεργος
e)pie/teia,ἐπιέτεια
e)pieth/s,ἐπιετής
e)pie/yetai,ἐπιέψεται
e)pizare/w,ἐπιζαρέω
e)piza/felos,ἐπιζάφελος
e)piza/w,ἐπιζάω
e)pizei/w,ἐπιζείω
e)pi/zema,ἐπίζεμα
e)pize/nnumi,ἐπιζέννυμι
e)pizeu/gnumi,ἐπιζεύγνυμι
e)pizeukth/r,ἐπιζευκτήρ
e)pizeuktiko/s,ἐπιζευκτικός
