*a,Α
a)ggareu/w,ἀγγαρεύω
a)ggarh/ios,ἀγγαρήιος
a)/ggaros,ἄγγαρος
a)ggarofore/w,ἀγγαροφορέω
a)/ggatos,ἄγγατος
a)ggei/dion,ἀγγείδιον
a)ggeiologe/w,ἀγγειολογέω
a)ggei=on,ἀγγεῖον
a)ggeiotomi/a,ἀγγειοτομία
a)ggeiw/dhs,ἀγγειώδης
a)ggeli/a,ἀγγελία
a)ggeliafore/w,ἀγγελιαφορέω
a)ggeliafo/ros,ἀγγελιαφόρος
a)ggeliko/s,ἀγγελικός
a)ggeliw/ths,ἀγγελιώτης
a)gge/llw,ἀγγέλλω
a)/ggelma,ἄγγελμα
a)/ggelos,ἄγγελος
a)gge/lteira,ἀγγέλτειρα
a)ggeltiko/s,ἀγγελτικός
a)gge/rios,ἀγγέριος
a)ggoqh/kh,ἀγγοθήκη
a)ggoph/nia,ἀγγοπήνια
a)/ggos,ἄγγος
a)/ggouros,ἄγγουρος
a)ggristh/s,ἀγγριστής
a)/ggwn,ἄγγων
a)/gdhn,ἄγδην
a)/ge,ἄγε
a)ge/gwnos,ἀγέγωνος
a)/geqlon,ἄγεθλον
a)/gei,ἄγει
a)/geios,ἄγειος
a)gei/ratos,ἀγείρατος
a)gei/rw,ἀγείρω
a)gei/swtos,ἀγείσωτος
a)gei/ths,ἀγείτης
a)gei/twn,ἀγείτων
a)gela/zomai,ἀγελάζομαι
a)gelaiokomiko/s,ἀγελαιοκομικός
a)gelai=os,ἀγελαῖος
a)gelaiotrofi/a,ἀγελαιοτροφία
a)gelaiotrofiko/s,ἀγελαιοτροφικός
a)gelaiotro/fos,ἀγελαιοτρόφος
a)gelaiw/n,ἀγελαιών
a)ge/laoi,ἀγέλαοι
a)gelarxe/w,ἀγελαρχέω
a)gela/rxhs,ἀγελάρχης
a)gelarxi/a,ἀγελαρχία
a)ge/lasma,ἀγέλασμα
a)gelaste/w,ἀγελαστέω
a)gelasti/,ἀγελαστί
a)gelastiko/s,ἀγελαστικός
a)ge/lastos,ἀγέλαστος
a)gela/ths,ἀγελάτης
a)gelei/h,ἀγελείη
a)ge/lh,ἀγέλη
a)gelhdo/n,ἀγεληδόν
a)ge/lhqen,ἀγέληθεν
a)gelhi/+s,ἀγεληΐς
a)gelhko/mos,ἀγεληκόμος
a)gelh/ths,ἀγελήτης
a)gelhtro/fos,ἀγελητρόφος
a)ge/lhfi,ἀγέληφι
a)geli/zei,ἀγελίζει
a)geliko/s,ἀγελικός
a)gelismo/s,ἀγελισμός
a)ge/loios,ἀγέλοιος
a)/gelos,ἄγελος
a)ge/mistos,ἀγέμιστος
a)/gen,ἄγεν
a)genealo/ghtos,ἀγενεαλόγητος
a)ge/neia,ἀγένεια
a)ge/neios,ἀγένειος
a)genh/s,ἀγενής
a)genhsi/a,ἀγενησία
a)ge/nhtos,ἀγένητος
a)ge/nneia,ἀγέννεια
a)gennh/s,ἀγεννής
a)gennhsi/a,ἀγεννησία
a)ge/nnhtos,ἀγέννητος
a)genni/a,ἀγεννία
a)genni/zw,ἀγεννίζω
a(ge/omai,ἁγέομαι
a)ge/rastos,ἀγέραστος
a)ge/rda,ἀγέρδα
a)gere/qw,ἀγερέθω
a)/gerqen,ἄγερθεν
a)germo/s,ἀγερμός
a)germosu/nh,ἀγερμοσύνη
a)gersiku/bhlis,ἀγερσικύβηλις
a)/gersis,ἄγερσις
a)ge/rths,ἀγέρτης
a)gerwpei=,ἀγερωπεῖ
a)gerwxi/a,ἀγερωχία
a)ge/rwxos,ἀγέρωχος
*)agesi/laos,Ἀγεσίλαος
a)gesi/frwn,ἀγεσίφρων
a)ge/stratos,ἀγέστρατος
a(ge/ths,ἁγέτης
a)getoi/,ἀγετοί
a)geusti/a,ἀγευστία
a)/geustos,ἄγευστος
a)gewme/trhtos,ἀγεωμέτρητος
a)gewrghsi/a,ἀγεωργησία
a)gew/rghtos,ἀγεώργητος
a)gewrgi/on,ἀγεωργίον
a)/gh1,ἄγη1
a)gh/1,ἀγή1
a)gh/2,ἀγή2
a)/gh2,ἄγη2
a)ghqh/s,ἀγηθής
a)ghlate/w,ἀγηλατέω
a)gh/latos,ἀγήλατος
a)/ghma,ἄγημα
a)ghno/reios,ἀγηνόρειος
a)ghnore/w,ἀγηνορέω
a)ghnori/a,ἀγηνορία
a)gh/nwr,ἀγήνωρ
a)gh/oxa,ἀγήοχα
a)gh/rantos,ἀγήραντος
a)gh/raos,ἀγήραος
a)ghrasi/a,ἀγηρασία
a)gh/raton,ἀγήρατον
a)gh/ratos1,ἀγήρατοσ
a)gh/ratos2,ἀγήρατος
a(gh/s,ἁγής
*)agh/sandros,Ἀγήσανδρος
a)ghsi/laos,ἀγησίλαος
a)ghsi/xoros,ἀγησίχορος
a)ghto/s,ἀγητός
*)agh/twr,Ἀγήτωρ
a)/gi,ἄγι
a(gia/zw,ἁγιάζω
a(gi/asma,ἁγίασμα
a(giasmo/s,ἁγιασμός
a(giasth/rion,ἁγιαστήριον
a(giasti/a,ἁγιαστία
a(giafo/ros,ἁγιαφόρος
a)gi/gartos,ἀγίγαρτος
a(gi/zw,ἁγίζω
a)gine/w,ἀγινέω
